Content,Issue,Valence,Account,High_IH
"Immigrants just come to get what they can, to take the opportunities living here affords without really investing energy and emotion into becoming an American. This further promotes divisions among us as different cultures just gather in various areas, re-establishing pockets of their own culture, rather than assimilating into ours",immigration,conservative,open.road,No
Immigration was good when they came and assimilated to the country's core values,immigration,conservative,open.road,No
Immigration is dangerous,immigration,conservative,melody.90,No
I think its crazy to insist teachers learn spanish to teach illegals,immigration,conservative,melody.89,No
"We need the border wall. As a country, we need to be able to secure our borders, and I have felt that way for a long time.",immigration,conservative,free.thinker,No
"Our current lack of control over our own borders and outdated immigration laws have not served us well lately (nor even served the immigrants themselves well). We need to update our immigration laws to be more selective, enforce them more consistently, and remove all the illegals within our borders.",immigration,conservative,free.thinker,No
Crime rates are lower among illegals then citizens because there are more citizens then illegals.,immigration,conservative,Dr_ Williams,No
I don't support immigration if people are coming here illegally,immigration,conservative,Dr_ Williams,No
"While you can name a handful of brilliant, successful immigrants, they aren't representative of the 1 million we take in each year. We should drastically reduce that number if not decrease it to net zero.",immigration,conservative,Anderson_78,No
Why does it have to be immigrants who forever change the cultural fabric of our country? We should preserve American identity & culture rather than make it a hodgepodge of different sects of world cultures with no overarching identity or commonality.,immigration,conservative,Anderson_78,No
"I feel that there are certain people that are mentally incapable of handling a gun. There should be some system that helps sift the mentally ill out from those who are capable and able to use a gun appropriately. I'm not sure about the specifics, though...",gun control,liberal,enigma_898,Yes
"I totally understand, it's not the guns fault. We shouldn't do away with guns because of recent incidents, but it seems to me that we need to look at those who use the guns. I think regulating who can get access to them could help solve this issue. I agree that people have the need to feel safe and they should secure their environment the way they feel comfortable",gun control,liberal,enigma_897,Yes
"Others might disagree, but I think we need reasonable and uniform NATIONAL gun legislation. I think one reason for the failure of gun control laws in the US is the pathwork of state-to-state differences. I might be wrong, but I think Congress even forbid the government trackingof gun violence deaths.",gun control,liberal,All.You.Need.Is.Love,Yes
"I'm not an expert on gun policy, but I did write research papers on the topic in college. While doing research, I was persuaded there was a lot misinformation put out by the NRA, which wa led by someone personally enriching himself from the sales of ammunition.",gun control,liberal,All.You.Need.Is.Love,Yes
"I'm open to other ideas, but I wonder if we should require every gun sale to be registered and require gun manufacturers to include trigger locks at no additional charge to the consumer. It probably won't solve all our problems, but I think that we can take measures to reduce gun deaths without trampling on the 2nd Amendment.",gun control,liberal,All.You.Need.Is.Love,Yes
Guns are dangerous,gun control,liberal,wobbles.34,No
I think gun control will stop all the mass shootings.,gun control,liberal,wobbles.34,No
I am for gun control: ban them in the US unless there are special circumstances to own them.,gun control,liberal,wobbles.34,No
Background checks will stop some people who should not own guns from owning them and that's a start. We have finance laws we know people will break but we still do what we can to try to police it.,gun control,liberal,verbal.latte,No
"We need mandatory training, licensing, and spaces where guns are and are not allowed.",gun control,liberal,verbal.latte,No
"The problem is not guns; it's the people who have them. I know lots of people that I'd be comfortable having any type of gun. We need to restrict gun possession to responsible people - not drunks, or wife-beaters, not white supremesists. And not political extremeidts. Pretty obvious.",gun control,liberal,verbal.latte,No
"A good guy with a gun can kill a bad guy with a gun, but what if there were no guns at all? Protection and security should be left to law enforcement.",gun control,liberal,velvet.vanity,No
There should be gun bans even though gun enthusiasts will riot in response.,gun control,liberal,velvet.vanity,No
"We need stricter gun laws for modern times. At this point people don't need the right to bare arms. As a civilization, we've moved past this primal state. Our laws need a reality makeover.",gun control,liberal,politics_junky,No
I say yes to gun control. We must stand up to the NRA!,gun control,liberal,politics_junky,No
"We live in a society and pay taxes and agree to social norms for protection. We do not live in the world as independent, armed encampments. It may cost me or a loved one our lives, but, living gun-free is the price for a civilized society.",gun control,liberal,politics_junky,No
"If gun control means gun ban, then yes. Though I'm all for registration.",gun control,liberal,Taylor_C,No
Automatic rifles need to be illegal.,gun control,liberal,Taylor_C,No
"Stricter gun laws would help in many situations. It would definitely help decrease the incidence of gun violence. No one is saying that people will not be able to buy/own guns anymore. The government is not taking away your right to bear arms, it would just make it harder for those who may not be fit to own a gun to buy one.",gun control,liberal,Sam.theFan,No
Military weapons should not be sold to the public. No one that isn't in the military needs an AK-47 or similar weapon. These types of weapons were specifically created for war and not for public use or entertainment.,gun control,liberal,Sam.theFan,No
"I understand why some people want gun control. It would help insure guns aren't given to unstable people. But I also believe that as an American I have every right to defend my property, family, and myself with a gun or guns. I worry only criminals would have weapons.",gun control,conservative,trucks.n.stuff,Yes
"I'm open to hearing other views, but it sure seems like gun control doesn't work. I've heard that the states with the strictest gun control has the highest crime rates and murder rates. I would think that's because only criminal have the guns.",gun control,conservative,trucks.n.stuff,Yes
"I'm no psychologist, but I don't think that criminals care what the laws are and what they can or can't do. If that is true, they will obtain a gun by whatever means they can, carry it illegally, use it in a crime and possibly use it to rob you.",gun control,conservative,trucks.n.stuff,Yes
"I try not to be naive that utopia exists or can exist. I know some people think differently, but I do believe in laws and rules and that people are basically good and follow them most of the time. I'd love to see data on this, but I feel like it's only the fringe that does not follow them and causes mayhem for the rest of us.",gun control,conservative,Jamie_W,Yes
I might be wrong but it seems like the places that have the most mayhem are those with the most restrictive laws. I think about the pressure cooker bombs a few years back at the marathon.,gun control,conservative,Jamie_W,Yes
"A little history will do you alot of good. Facts of history are not something someone made up, they are facts. Just like the fact vaccines help us fight disease, so a good guy trained with a gun is better than an unprepared bad guy. With proper training guns are safer than you driving while texting.",gun control,conservative,swifty.123,No
"I get the reason some people want gun control. I want them to understand that where I live, we need guns. We are over run with coyotes. They kill our pets. We try and kill them. You have to use a weapon with range. What youd call an assault weapon is perfect for that, and they are popular here for coyotes. I just scare them with my gun, because I don't ever hit them",gun control,conservative,swifty.123,No
"The 2nd amendment is to ward off tyrannical governments. What does China, North Korea and Nazi Germany have in common. Citizens couldn't and still can't defend themselves when their governments get out of hand. I'd rather have the 2A then not.",gun control,conservative,open_road,No
"The 2nd Amendmentwas to prevent , from invasion and Tyrrany- They first thing the enemy want is your weapons!",gun control,conservative,open_road,No
"I believe in in being cautious, but at what cost? It just seems like everyone wants to start taking our rights away. I hope that we don't lose the right to protect our families and friends.",gun control,conservative,open_road,No
The 2nd amendment protects my rights and shall not be infringed upon,gun control,conservative,melody_91,No
Chicago has some of the strictest gun control laws. That didn't stop the the rising gun related killings.,gun control,conservative,melody_90,No
There is no benefit to gun control,gun control,conservative,melody_89,No
Our 2nd amendment right separates us from every country out there. It was derived out of tyranny not hunting or target shooting. It was the 2nd ammendment after free speech. It was that important.,gun control,conservative,free_thinker,No
Not one mass murderer was an NRA member. Why is that? Did you know the NRA is the oldest civil rights organization in America?,gun control,conservative,free_thinker,No
No more gun control. Just enforce the laws that are ALREADY in place.,gun control,conservative,Dr. Williams,No
I think guns law are already strick enough.,gun control,conservative,Dr. Williams,No
"Folks say ""those who are a threat"" shouldn't have guns. Felons -- even white-collar, non-violent felons who have done their time, are denied forever the right to own or possess a gun. I don't think we should strip those rights forever.",gun control,conservative,Anderson.78,No
Gun control will not stop criminals from getting black market guns.,gun control,conservative,Anderson.78,No
"It's impossible to control illegal gun sales, just like illegal drugs on the streets. If the bad people want them, they will get them. But the people who typically get them for good intentions are to protect themselves against the bad people with bad intentions so it just comes full circle. Guns should be for protections against the bad but now the bad includes people with guns.",gun control,conservative,Anderson.78,No
